PO Number,PTJ Number
4500024056,10200012
4500024063,10200010
4500024065,10200010
4500024070,10200009
4500024072,10200010
4500024073,10200010
4500024074,10200010
4500024077,10200008
4500024078,10200008
4500024079,10200008
4500024081,10200030
4500024086,10200030
4500024095,10200021
4500024102,10200001
4500024103,10200001
4500024105,10200032
4500024107,10200032
4500024108,10200032
4500024117,10200007
4500024132,10120001
4500024134,10120001
4500024135,10200003
4500024136,10120001
4500024138,10200003
4500024150,10200001
4500024154,10200002
4500024170,10200031
4500024174,10200002
4500024175,10200030
4500024176,10160003
4500024177,10120001
4500024180,10160003
4500024182,10160003
4500024184,10200030
4500024186,10200002
4500024188,10150009
4500024189,10200020
4500024199,10200002
4500024225,10120001
4500024228,10120001
4500024229,10120001
4500024231,10120001
4500024232,10120001
4500024233,10120001
4500024257,10200023
4500024264,10200022
4500024284,10200004
4500024288,10200007
4500024297,10160003
4500024307,10200020
4500024323,10200006
4500024331,10200006
4500024333,10120004
4500024335,10120001
4500024351,10120001
4500024360,10200020
4500024367,10120002
4500024373,10200009
4500024375,10200005
4500024379,10120002
4500024380,10120002
4500024453,10200023
4500024458,10160003
4500024528,10150008
4500024529,10200004
4500024540,10200032
4500024591,10120001
4500024595,10120002
4500024608,10200008
4500024613,10200020
4500024629,10120001
4500024668,10200004
4500024669,10200004
4500024670,10200004
4500024686,10140008
4500024696,10120001
4500024697,10120001
4500024742,10160003
4500024757,10200021
4500024759,10120001
4500024761,10120001
4500024764,10120002
4500024782,10160001
4500024784,10120001
4500024803,10200008
4500024804,10200006
4500024812,10160003
4500024818,10200006
4500024834,10120002
4500024837,10130001
4500024898,10150008
4500024934,10200006
4500024941,10160003
4500024974,10120001
4500024976,10120004
4500024987,10160003
4500024989,10120002
4500025115,10120001
4500025119,10160003
4500025122,10120002
4500025145,10160003
4500025167,10160001
4500025241,10120001
4500025259,10120002
4500025329,10200006
4500025430,10120002
4500025438,10160003
4500025454,10200009
4500025455,10200009
4500025480,10120002
4500025485,10110004
4500025548,10110004
4500025552,10120001
4500025598,10120001
4500025600,10120002
4500025612,10200004
4500025691,10120001
4500025798,10170004
4500025826,10140007
4500025835,10160001
4500025856,10200021
4500025895,10120002
4500025896,10120002
4500025914,10120001
4500025923,10200009
4500025924,10160003
4500025942,10200009
4500026022,10110003
4500026024,10150008
4500026026,10160003
4500026029,10120001
4500026052,10110004
4500026077,10170004
4500026108,10120001
4500026148,10160003
4500026153,10140008
4500026252,10160003
4500026260,10120001
4500026265,10120002
4500026267,10170004
4500026275,10160003
4500026320,10160003
4500026352,10130003
4500026366,10120001
4500026369,10120001
4500026370,10120001
4500026372,10120001
4500026401,10160003
4500026402,10120001
4500026418,10130003
4500026423,10120001
4500026431,10130007
4500026438,10150009
4500026439,10160003
4500026440,10150008
4500026471,10160003
4500026474,10150009
4500026477,10160003
4500026504,10200002
4500026513,10110004
4500026515,10160003
4500026529,10160003
4500026546,10150009
4500026548,10160003
4500026549,10150009
4500026550,10130003
4500026552,10120001
4500026570,10110001
4500026571,10110001
4500026579,10120001
4500026580,10120001
4500026581,10120001
4500026589,10110001
4500026602,10200006
4500026604,10110001
4500026606,10120001
4500026608,10160001
4500026610,10170003
4500026611,10120001
4500026617,10120001
4500026620,10120001
4500026621,10140007
4500026648,10120001
4500026651,10120004
4500026653,10110003
4500026654,10140008
4500026655,10120001
4500026657,10160003
4500026658,10160003
4500026661,10120001
4500026662,10130003
4500026664,10160003
4500026669,10120001
4500026670,10120001
4500026672,10110001
4500026677,10120001
4500026678,10120001
4500026684,10200021
4500026686,10150008
4500026687,10120001
4500026688,10120001
4500026689,10200021
4500026690,10120001
4500026692,10120004
4500026699,10110004
4500026708,10160001
4500026709,10150009
4500026710,10200006
4500026712,10160003
4500026713,10160003
4500026714,10160003
4500026715,10160003
4500026716,10160003
4500026719,10170004
4500026727,10120001
4500026728,10120001
4500026729,10110001
4500026731,10150008
4500026732,10120001
4500026733,10200030
4500026736,10160001
4500026737,10120002
4500026739,10120001
4500026740,10110001
4500026741,10110001
4500026742,10110001
4500026743,10110001
4500026744,10140007
4500026751,10150009
4500026752,10120001
4500026753,10120001
4500026754,10160003
4500026755,10120001
4500026757,10120001
4500026758,10120001
4500026759,10120001
4500026760,10120001
4500026761,10120001
4500026770,10120001
4500026773,10120001
4500026774,10120001
4500026784,10170003
4500026785,10170004
4500026786,10170004
4500026787,10120004
