PO Number,Vendor name,Posting date,PO Balance,PO Total Amount
4500024056,TRUSTAR ENTERPRISE,1/1/2025,2580,30960
4500024057,SRI TELIPOT FOTOSTAT,1/1/2025,0,6000
4500024063,TM BUILDERS SDN BHD,2/1/2025,4190,50280
4500024065,NASHKAWI SECURITY SERVICES,2/1/2025,8517.31,99802.37
4500024066,NLC GENERAL PEST CONTROL SDN BHD,2/1/2025,0,1944
4500024070,TK ELEVATOR MALAYSIA SDN BHD,2/1/2025,648,7776
4500024072,LASERGAIN SDN BHD,2/1/2025,450,5400
4500024073,HARAHAP MAJU PEST CONTROL SDN BHD,2/1/2025,559,3354
4500024074,YIMIDA RESOURCES SDN BHD,2/1/2025,3195,12780
4500024077,KELAB SUKAN DAN KEBAJIKAN,2/1/2025,1350,19800
4500024078,KOPERASI STAF CIDB MALAYSIA BERHAD,2/1/2025,6210,71300
4500024079,KEDAI SERBANEKA FAFA,2/1/2025,875,6630
4500024081,MULTICLEAN SERVICES (SABAH) SDN BHD,2/1/2025,1200,2880
4500024082,AKADEMI BINAAN MALAYSIA (JOHOR),2/1/2025,0,205468.2
4500024083,CONSONANCE SOLUTION SDN BHD,2/1/2025,530,6360
4500024084,COWAY (MALAYSIA) SDN BHD,2/1/2025,0,1584
4500024085,RENTOKIL INITIAL (M) SDN BHD,2/1/2025,0.04,2589.6
4500024086,PERFECT OFFICE SYSTEM SDN BHD,3/1/2025,529.2,6036.8
4500024090,RICOH (MALAYSIA) SDN. BHD.,3/1/2025,2232,22464
4500024091,RICOH (MALAYSIA) SDN. BHD.,3/1/2025,1116,11232
4500024092,ISBA BERSIH SDN BHD,3/1/2025,2538,30456
4500024095,DAYACOP SECURITY SERVICES SDN BHD,3/1/2025,13992.92,83957.52
4500024097,KOPERASI STAF CIDB MALAYSIA BERHAD,3/1/2025,17690.4,203112
4500024101,RENTOKIL INITIAL (M) SDN BHD,3/1/2025,179.55,2154.6
4500024102,CHUAH YEE ZEEN,3/1/2025,17600,105600
4500024103,KANGAR OFFICE AUTOMATION &,3/1/2025,556.8,5952
4500024104,MECACOM TECHNOLOGIES SDN BHD,5/1/2025,1450,17400
4500024105,ORION RIGEL STARS SECURITY SDN BHD,6/1/2025,7339.06,87449.12
4500024106,KOPERASI STAF CIDB MALAYSIA BERHAD,6/1/2025,0,97960
4500024107,NUR RINA ENTERPRISE,6/1/2025,3376,40286
4500024108,KOPERASI STAF CIDB MALAYSIA BERHAD,6/1/2025,0,97321.4
4500024113,HORNET SECURITY SDN BHD,6/1/2025,7747.49,92969.88
4500024114,SINAR LAGI ENGINEERING,6/1/2025,1480,5920
4500024115,ERA PISA ENTERPRISE,6/1/2025,825.12,9901.44
4500024117,ITPS MARKETING SDN BHD,6/1/2025,19654,19654
4500024118,MECH PRO SERVICE,6/1/2025,0,18750
4500024122,SINDOH MARKETING (M) SDN BHD,6/1/2025,600,7200
4500024124,LICENTOKIL (M) SDN. BHD,6/1/2025,0,4600
4500024128,CONSONANCE SOLUTION SDN BHD,6/1/2025,1352,16224
4500024132,KOPERASI STAF CIDB MALAYSIA BERHAD,6/1/2025,7590,8250
4500024134,PUTRAPACK MOVERS SDN. BHD.,6/1/2025,10225.7,35106.95
4500024135,PROFIL UNGGUL SDN BHD,6/1/2025,2797.2,33566.4
4500024136,KOPERASI STAF CIDB MALAYSIA BERHAD,6/1/2025,37415.8,431750
4500024138,COWAY (MALAYSIA) SDN BHD,6/1/2025,132,1584
4500024146,VECTOR PROTECTION,7/1/2025,280,3360
4500024147,GRACIOUS JEWEL SDN BHD,7/1/2025,23683.8,284205.6
4500024148,MSZ SEPAKAT PEST CONTROL,7/1/2025,300,1800
4500024150,WINNING FORCE SECURITY SERVICES,7/1/2025,4757.2,68343.26
4500024151,KOPERASI STAF CIDB MALAYSIA BERHAD,7/1/2025,5616,32240
4500024154,SIMDO SDN BHD,8/1/2025,7787.31,93444.31
4500024157,TOSHIBA TEC MALAYSIA SDN BHD (ACCOU,8/1/2025,0,4992
4500024167,PUTRAPACK MOVERS SDN. BHD.,8/1/2025,4062.2,37166
4500024168,COWAY (MALAYSIA) SDN BHD,8/1/2025,0,2628
4500024170,ONE ALLIANCE OFFICE,8/1/2025,1400,8400
4500024171,D'ANAZ ENTERPRISE,8/1/2025,1500,18000
4500024172,RED BERET SECURITY SDN BHD,8/1/2025,6719.76,80637.12
4500024173,TRG.TYPEWRITER SDN BHD,8/1/2025,855,10260
4500024174,DOL TWO ENTERPRISE,8/1/2025,5627.5,65836.8
4500024175,INDASIA SECURITY SERVICES SDN BHD,8/1/2025,7826.55,86091.98
4500024176,DAYTHREE BUSINESS SERVICES SDN BHD,9/1/2025,41571.75,572093.44
4500024177,HEALTHMETRICS SDN BHD,9/1/2025,2370.6,21600
4500024180,ARANCIA RESOURCES,9/1/2025,10000,10000
4500024182,PASSION ANTHEM SDN BHD,9/1/2025,10000,10000
4500024184,MEKAR INDAH JADI,9/1/2025,17655.4,97104.74
4500024186,SIGMA ELEVATOR (M) SDN BHD,9/1/2025,950.4,11404.8
4500024188,CIDB TECHNOLOGIES SDN BHD,10/1/2025,0,192090
4500024189,LIEW AIRCONDITIONING WORKS,10/1/2025,4110,32680
4500024199,FIZO INTEGRATED SOLUTIONS,12/1/2025,904.5,7076
4500024225,COWAY (MALAYSIA) SDN BHD,14/1/2025,240,5136
4500024227,COWAY (MALAYSIA) SDN BHD,14/1/2025,0,19500
4500024228,KOPERASI STAF CIDB MALAYSIA BERHAD,14/1/2025,0,10171
4500024229,KOPERASI STAF CIDB MALAYSIA BERHAD,14/1/2025,3707.6,5308
4500024231,KOPERASI STAF CIDB MALAYSIA BERHAD,14/1/2025,12606.25,18000
4500024232,MALMO ENTERPRISE,14/1/2025,600,5700
4500024233,STYLIZED MENS WEAR SDN. BHD.,14/1/2025,300,900
4500024257,ROYALIST SUPPLIES & TRADING CO.,16/1/2025,350,3500
4500024260,HASRAT IMPIAN ENTERPRISE,16/1/2025,600,24000
4500024262,EVERGROW RJ GENERAL CONTRACTOR,16/1/2025,2872.8,34473.6
4500024263,EXPERT SECURITY SERVICES SDN BHD,16/1/2025,8300.88,98820
4500024264,KIWI OFFICE EQUIPMENT SALES & SERVI,16/1/2025,176,2112
4500024284,WATER TECH ENTERPRISE,20/1/2025,400,1200
4500024288,WAWASAN OFFICE & STUDENT STATION,20/1/2025,6542.92,6542.92
