PO Number,PTJ Number
4500024543,10120002
4500024594,10120002
4500026037,10200020
4500026298,10120004
4500026355,10120002
4500026435,10200031
4500026442,10120002
4500026472,10120002
4500026473,10120004
4500026543,10200022
4500026565,10120002
4500026583,10120002
4500026584,10120004
4500026609,10120004
4500026619,10200032
4500026635,10200008
4500026649,10120002
4500026656,10120004
4500026660,10120002
4500026681,10200003
4500026694,10120004
4500026718,10200012
4500026720,10120004
4500026721,10120004
4500026722,10120004
4500026723,10120004
4500026724,10120004
4500026725,10120004
4500026726,10120001
4500026727,10120001
4500026728,10120001
4500026729,10120001
